1	25887
1	49392
2	9420
2	40118
3	1229
3	36302
4	8319
4	33830
5	15482
5	44714
6	8427
6	20857
7	13374
7	39390
8	9689
8	27017
9	4233
9	44940
10	31204
10	44066
11	2467
11	16584
12	151
12	37729
13	1130
13	15787
14	39529
14	40631
15	20143
15	40158
16	11664
16	33735
17	17894
17	35965
18	47804
18	49222
19	2709
19	5803
20	31553
20	42604
21	35718
21	39838
22	48675
22	49438
23	823
23	27867
24	22982
24	40870
25	32527
25	47331
26	7129
26	32314
27	12267
27	47147
28	1503
28	10446
29	36774
29	47657
30	9630
30	22106
31	2645
31	11973
32	35452
32	39231
33	27604
33	45753
34	17962
34	45182
35	6290
35	45276
36	38728
36	41409
37	9249
37	10393
38	15244
38	37735
39	21564
39	21638
40	29437
40	34758
41	21792
41	48092
42	31950
42	40919
43	4703
43	45215
44	7500
44	37081
45	39781
45	47893
46	10063
46	16265
47	36458
47	44262
48	40550
48	46148
49	16998
49	47355
50	15459
50	19570
51	34035
51	38229
52	12409
52	35650
53	42110
53	46071
54	24179
54	44075
55	22242
55	48373
56	20423
56	46136
57	25458
57	45891
58	17455
58	19328
59	38733
59	49090
60	19095
60	32034
61	27998
61	37019
62	1924
62	29605
63	45483
63	46615
64	33266
64	37138
65	8974
65	33809
66	30955
66	41258
67	7921
67	34819
68	10174
68	21999
69	20213
69	45917
70	16521
70	29047
71	475
71	6187
72	14173
72	44020
73	16056
73	24158
74	9795
74	34093
75	33299
75	45482
76	34680
76	48518
77	32809
77	46800
78	13873
78	48285
79	20695
79	44308
80	3612
80	21239
81	23597
81	24929
82	14979
82	35787
83	21436
83	49331
84	5569
84	12447
85	2985
85	31514
86	543
86	26558
87	15265
87	18974
88	12777
88	13104
89	4019
89	40980
90	37544
90	39283
91	5920
91	28353
92	23961
92	29108
93	34012
93	46242
94	30127
94	47541
95	29739
95	47288
96	6499
96	30875
97	40855
97	44873
98	37831
98	39809
99	15521
99	36207
100	13639
100	38960
101	43175
101	45833
102	6529
102	44600
103	13621
103	16823
104	19748
104	30303
105	38255
105	44132
106	40722
106	49632
107	37395
107	39833
108	26882
108	41827
109	32603
109	33844
110	27856
110	48594
111	32288
111	40879
112	22828
112	39412
113	10491
113	11062
114	41714
114	42120
115	17677
115	18034
116	20719
116	32133
117	11016
117	49928
118	44397
118	45870
119	8756
119	43235
120	42998
120	48147
121	4186
121	37537
122	15903
122	37269
123	16080
123	43575
124	9832
124	49614
125	24860
125	43880
126	2544
126	49293
127	31215
127	47181
128	14447
128	33915
129	2833
129	47915
130	15463
130	48061
131	34367
131	41436
132	11540
132	18099
133	15156
133	49089
134	30174
134	48617
135	12382
135	34579
136	6954
136	48250
137	147
137	15220
138	45573
138	46267
139	24231
139	36754
140	2302
140	5533
141	24903
141	28263
142	6548
142	45112
143	27981
143	35506
144	29722
144	38731
145	11157
145	15144
146	16338
146	40626
147	137
147	48877
148	33207
148	44609
149	26501
149	27095
150	29458
150	30774
151	12
151	25705
152	17652
152	44559
153	23078
153	49803
154	21721
154	28557
155	3767
155	22591
156	20768
156	46614
157	16828
157	28835
158	40067
158	45517
159	41201
159	44727
160	39359
160	39960
161	25791
161	43039
162	10541
162	42385
163	7908
163	10594
164	37300
164	47650
165	9227
165	35118
166	34356
166	35656
167	31409
167	33871
168	4124
168	35556
169	15733
169	25886
170	17262
170	40143
171	28111
171	39180
172	10231
172	44803
173	28113
173	43028
174	33300
174	46206
175	7858
175	35079
176	28224
176	42058
